Gene;Entrez;NumSucc;NumTrials;Average;PVal;CumPosition;QValue
APOE;348;23;103;0,92039292;5,16E-06;151;0,000765493
P2RY12;64805;21;89;0,92039292;5,21E-06;152;0,000768374
CTGF;1490;22;96;0,92039292;5,24E-06;153;0,00076742
LGALS1;3956;25;118;0,92039292;5,59E-06;154;0,00081256
PSMB8;5696;24;111;0,92039292;5,89E-06;155;0,000851302
F2R;2149;24;111;0,92039292;5,89E-06;156;0,000845845
CD83;9308;22;97;0,92039292;6,27E-06;157;0,000894677
VCAM1;7412;25;119;0,92039292;6,54E-06;158;0,000927044
TSPO;706;25;119;0,92039292;6,54E-06;159;0,000921214
FERMT3;83706;23;105;0,92039292;7,26E-06;160;0,001015938
BHLHE40;8553;23;105;0,92039292;7,26E-06;161;0,001009628
ERBIN;55914;17;64;0,92039292;7,44E-06;162;0,001028225
CCL5;6352;22;98;0,92039292;7,48E-06;163;0,001027852
IL18;3606;24;113;0,92039292;8,14E-06;164;0,00111183
IFI30;10437;22;99;0,92039292;8,89E-06;165;0,001207611
CTSB;1508;25;121;0,92039292;8,90E-06;166;0,001201068
SELENOM;140606;21;92;0,92039292;9,07E-06;167;0,001216709
SDC4;6385;24;114;0,92039292;9,53E-06;168;0,001271361
RNF115;27246;23;107;0,92039292;1,01E-05;169;0,001338478
TIMP2;7077;25;122;0,92039292;1,03E-05;170;0,001363953
CEBPB;1051;22;100;0,92039292;1,05E-05;171;0,001381902
HCK;3055;22;100;0,92039292;1,05E-05;172;0,001373868
PLTP;5360;21;93;0,92039292;1,08E-05;173;0,001403565
MAN1A1;4121;23;108;0,92039292;1,19E-05;174;0,001527758
LBP;3929;23;108;0,92039292;1,19E-05;175;0,001519028
MAN2B1;4125;25;123;0,92039292;1,20E-05;176;0,001528996
RAB32;10981;22;101;0,92039292;1,25E-05;177;0,001578919
CRYL1;51084;24;116;0,92039292;1,30E-05;178;0,001635213
CSRP1;1465;24;117;0,92039292;1,51E-05;179;0,00189191
PTPN6;5777;24;117;0,92039292;1,51E-05;180;0,0018814
TM4SF1;4071;24;117;0,92039292;1,51E-05;181;0,001871005
PQLC3;130814;21;95;0,92039292;1,53E-05;182;0,001887909
CD63;967;19;81;0,92039292;1,57E-05;183;0,001926153
CD14;929;22;103;0,92039292;1,73E-05;184;0,002107337
CD37;951;22;104;0,92039292;2,03E-05;185;0,002459179
SLC3A2;6520;24;119;0,92039292;2,03E-05;186;0,002448801
EGR1;1958;24;119;0,92039292;2,03E-05;187;0,002435706
GAS6;2621;24;119;0,92039292;2,03E-05;188;0,00242275
TMED10;10972;23;112;0,92039292;2,21E-05;189;0,002618767
RENBP;5973;23;112;0,92039292;2,21E-05;190;0,002604984
TMTC1;83857;15;56;0,92039292;2,26E-05;191;0,002651695
FKBP5;2289;24;120;0,92039292;2,35E-05;192;0,002742547
LONP2;83752;24;120;0,92039292;2,35E-05;193;0,002728337
IQGAP1;8826;24;120;0,92039292;2,35E-05;194;0,002714273
FUCA1;2517;22;105;0,92039292;2,38E-05;195;0,002730468
MT2A;4502;10;27;0,92039292;2,42E-05;196;0,002768277
EFHD2;79180;21;98;0,92039292;2,53E-05;197;0,00287257
MERTK;10461;21;98;0,92039292;2,53E-05;198;0,002858062
ALOX5AP;241;23;113;0,92039292;2,57E-05;199;0,002888566
GPX3;2878;23;113;0,92039292;2,57E-05;200;0,002874123
ATP8B1;5205;19;84;0,92039292;2,72E-05;201;0,003033403
DTX3L;151636;19;84;0,92039292;2,72E-05;202;0,003018386
SCIN;85477;19;84;0,92039292;2,72E-05;203;0,003003517
ZC3HAV1;56829;15;57;0,92039292;2,84E-05;204;0,003121684
GLIPR1;11010;21;99;0,92039292;2,97E-05;205;0,003241909
RETSAT;54884;23;114;0,92039292;2,97E-05;206;0,003233552
SDCBP;6386;24;122;0,92039292;3,12E-05;207;0,003379184
ENPP4;22875;20;92;0,92039292;3,13E-05;208;0,003369647
NKG7;4818;19;85;0,92039292;3,24E-05;209;0,003477677
ZFP36L1;677;23;115;0,92039292;3,44E-05;210;0,003667699
CREG1;8804;23;115;0,92039292;3,44E-05;211;0,003650316
HMOX1;3162;23;115;0,92039292;3,44E-05;212;0,003633098
CLEC2B;9976;10;28;0,92039292;3,50E-05;213;0,003678908
CD82;3732;24;123;0,92039292;3,59E-05;214;0,003756115
IL6ST;3572;24;123;0,92039292;3,59E-05;215;0,003738644
CXCL16;58191;9;23;0,92039292;3,73E-05;216;0,003864843
PER2;8864;22;108;0,92039292;3,76E-05;217;0,003875899
MOCOS;55034;22;108;0,92039292;3,76E-05;218;0,00385812
HSPB8;26353;22;108;0,92039292;3,76E-05;219;0,003840503
RPS27L;51065;22;108;0,92039292;3,76E-05;220;0,003823046
RICTOR;253260;22;108;0,92039292;3,76E-05;221;0,003805747
SRGN;5552;17;72;0,92039292;3,95E-05;222;0,003986044
CDK5RAP3;80279;21;101;0,92039292;4,06E-05;223;0,004077867
CDC42EP3;10602;21;101;0,92039292;4,06E-05;224;0,004059662
MAPKAPK3;7867;20;94;0,92039292;4,34E-05;225;0,004317702
FAM213A;84293;22;109;0,92039292;4,35E-05;226;0,004313809
NOP53;29997;23;117;0,92039292;4,57E-05;227;0,004507684
EZR;7430;23;117;0,92039292;4,57E-05;228;0,004487913
NFKBIA;4792;24;125;0,92039292;4,71E-05;229;0,004608387
LRP10;26020;21;102;0,92039292;4,73E-05;230;0,004607087
PROS1;5627;21;102;0,92039292;4,73E-05;231;0,004587143
IGF2R;3482;21;102;0,92039292;4,73E-05;232;0,004567371
ADGRE1;2015;17;73;0,92039292;4,77E-05;233;0,004584704
VEGFD;2277;20;95;0,92039292;5,09E-05;234;0,004866978
SOCS3;9021;23;118;0,92039292;5,25E-05;235;0,005003189
LRCH3;84859;19;88;0,92039292;5,39E-05;236;0,005116187
PKP2;5318;19;88;0,92039292;5,39E-05;237;0,0050946
PARP9;83666;19;88;0,92039292;5,39E-05;238;0,005073194
CYR61;3491;21;103;0,92039292;5,50E-05;239;0,005153335
PARP3;10039;18;81;0,92039292;5,62E-05;240;0,005244198
CLIC1;1192;22;111;0,92039292;5,81E-05;241;0,005398543
SGK1;6446;23;119;0,92039292;6,02E-05;242;0,00557133
G6PD;2539;14;54;0,92039292;6,23E-05;243;0,005739375
CH25H;9023;19;89;0,92039292;6,35E-05;244;0,005824096
CHSY1;22856;19;89;0,92039292;6,35E-05;245;0,005800325
SHISA5;51246;21;104;0,92039292;6,38E-05;246;0,005805268
MKRN1;23608;21;104;0,92039292;6,38E-05;247;0,005781764
WLS;79971;21;104;0,92039292;6,38E-05;248;0,005758451
STOM;2040;21;104;0,92039292;6,38E-05;249;0,005735325
AGMO;392636;15;61;0,92039292;6,70E-05;250;0,006003475
JADE2;23338;17;75;0,92039292;6,87E-05;251;0,006127517
HNRNPM;4670;17;75;0,92039292;6,87E-05;252;0,006103202
TGFBR3;7049;23;120;0,92039292;6,89E-05;253;0,006098927
DNAJB2;3300;20;97;0,92039292;6,93E-05;254;0,006111646
INPP5D;3635;21;105;0,92039292;7,38E-05;255;0,006478131
HEXB;3074;22;113;0,92039292;7,69E-05;256;0,006723174
MMRN2;79812;18;83;0,92039292;7,88E-05;257;0,006868755
MT1H;4496;9;25;0,92039292;8,05E-05;258;0,006982443
ID4;3400;20;98;0,92039292;8,06E-05;259;0,006969843
WNK1;65125;22;114;0,92039292;8,81E-05;260;0,007589642
KLHL6;89857;18;84;0,92039292;9,29E-05;261;0,007970356
ITGB5;3693;18;84;0,92039292;9,29E-05;262;0,007939935
C11orf54;28970;20;99;0,92039292;9,35E-05;263;0,007961243
RHPN2;85415;20;99;0,92039292;9,35E-05;264;0,007931086
METTL7A;25840;12;43;0,92039292;9,51E-05;265;0,008030869
ARAP1;116985;21;107;0,92039292;9,80E-05;266;0,008251718
CCNG1;900;22;115;0,92039292;0,000100849;267;0,008456043
RAB31;11031;20;100;0,92039292;0,000108212;268;0,009039061
FAM107A;11170;18;85;0,92039292;0,000109159;269;0,009084224
AXL;558;21;108;0,92039292;0,000112642;270;0,009339143
SWAP70;23075;21;108;0,92039292;0,000112642;271;0,009304681
PBX3;5090;22;116;0,92039292;0,000115165;272;0,009477937
LRP1;4035;22;116;0,92039292;0,000115165;273;0,009443219
LMNA;4000;23;124;0,92039292;0,000116017;274;0,009478307
CHRNA1;1134;19;93;0,92039292;0,000118309;275;0,009630188
EVI2B;2124;12;44;0,92039292;0,000121261;276;0,009834525
PDLIM1;9124;21;109;0,92039292;0,000129135;277;0,010434702
STAT6;6778;22;117;0,92039292;0,000131255;278;0,010567664
LAPTM4A;9741;22;117;0,92039292;0,000131255;279;0,010529787
NTN4;59277;17;79;0,92039292;0,000136162;280;0,010883985
SCPEP1;59342;19;94;0,92039292;0,000137292;281;0,010935193
CTSE;1510;19;94;0,92039292;0,000137292;282;0,010896416
TMEM140;55281;19;94;0,92039292;0,000137292;283;0,010857912
SAMD9L;219285;14;58;0,92039292;0,000143751;284;0,011328159
RPS6KA5;9252;20;102;0,92039292;0,000143831;285;0,011294675
PPL;5493;20;102;0,92039292;0,000143831;286;0,011255183
TIMP1;7076;20;102;0,92039292;0,000143831;287;0,011215966
ANP32B;10541;21;110;0,92039292;0,000147727;288;0,011479407
JAG1;182;21;110;0,92039292;0,000147727;289;0,011439686
SLC11A1;6556;18;87;0,92039292;0,000149287;290;0,011520526
ZCCHC24;219654;18;87;0,92039292;0,000149287;291;0,011480937
TGFBR2;7048;22;118;0,92039292;0,000149304;292;0,011442862
NFKB1;4790;22;118;0,92039292;0,000149304;293;0,011403808
AOX1;316;19;95;0,92039292;0,000158902;294;0,012094785
TMEM106A;113277;19;95;0,92039292;0,000158902;295;0,012053786
